model,feature,gini_observed,gini_boot_mean,gini_boot_ci_low,gini_boot_ci_high,null_mean,null_q95,p_altmann,p_altmann_bh,perm_mean,perm_ci_low,perm_ci_high,perm_ci_excludes_zero
RFC,fraction_exposed_exposed_g,0.010557860526447733,0.01068649903932747,0.007474426272551788,0.016108325655269325,0.010338583085468443,0.011794757876520026,0.3563218390804598,0.5755968169761273,-0.0013710448153189036,-0.005022580745214195,0.0023446269142174403,False
RFC,frac_aa_g,0.010517419698194017,0.009567966969374788,0.007067067621863728,0.013237690001343103,0.009721708281340528,0.01104786423068547,0.1454272863568216,0.271464267866067,0.00017196399798455553,-0.006508768888503785,0.008281498688002771,False
RFC,fraction_exposed_exposed_q,0.010438038255964212,0.010084541288555144,0.0071352583678245575,0.015905208476243746,0.01075476163765762,0.012340013858833201,0.6146926536731634,0.8605697151424287,-0.0001484162300467007,-0.008492822966507288,0.007701195687565504,False
RFC,frac_aa_y,0.010404537100309195,0.00957484967177214,0.006905674889225467,0.013180923260783557,0.010069514397773592,0.0115379315425281,0.31284357821089454,0.5152717758767675,0.0007873475582596945,-0.006912849868076454,0.009344165375289416,False
RFC,fraction_exposed_exposed_m,0.010133663910756208,0.009773196256460252,0.0071702393827358475,0.013318481643715392,0.011063909123487899,0.01262482414210125,0.8540729635182409,1.0,0.0004952545153491839,-0.009322721065209922,0.008366406446738783,False
RFC,frac_aa_m,0.010053115615707875,0.01012909536980759,0.007133498575010158,0.015963643973197682,0.010591160673779722,0.012169159667257162,0.711144427786107,0.948192570381476,-0.0018120610602242859,-0.00842280724394547,0.0065326114328883075,False
RFC,aromaticity,0.009952258044613287,0.008473384509030322,0.006215365288756475,0.011742017949832722,0.009976558488281616,0.011309349763884199,0.4987506246876562,0.7593703148425788,0.001189120285886609,-0.005438923241648533,0.005984687033313403,False
RFC,frac_aa_d,0.009946571377442598,0.00970882812682961,0.006700848801600792,0.014475433558752823,0.010192590771105995,0.011594606800955653,0.5987006496751625,0.8523873656392144,-7.248012784318637e-05,-0.008305542827930824,0.008422723490466957,False
RFC,isoelectric_point,0.009946142507447167,0.011015724223723378,0.008060937323769403,0.014813093387846322,0.010357336537996548,0.011776439216325449,0.6691654172913544,0.9066112105237704,0.003165116855831284,-0.0031057770895169534,0.007949364322555457,False
RFC,secondary_structure_fraction_disordered,0.00985070774653169,0.009781487347920977,0.006994070498097745,0.013593131135421946,0.009924539206197363,0.011354907156670745,0.5062468765617192,0.7593703148425788,0.0003028086597089319,-0.008193120596767554,0.005722169805517126,False
RFC,instability_index,0.009740219246669046,0.009317598057076765,0.006848017681820225,0.014083672210498882,0.010385051723930653,0.011859430239340815,0.7721139430284858,1.0,-0.0005867455651652586,-0.007153950315249502,0.004237383591763768,False
